"","ppt","sex","age","condition","item_type","item","resp","item_type_rc_1","item_type_rc_2","cond_rc"
"1","C1","H",28,"Control","Lure","Abeille",4,0,2,0.5
"2","C1","H",28,"Control","Studied","Accident",4,1,-1,0.5
"3","C1","H",28,"Control","Studied","Alcool",4,1,-1,0.5
"4","C1","H",28,"Control","Studied","Amende",3,1,-1,0.5
"5","C1","H",28,"Control","Unstudied","Arbre",2,-1,-1,0.5
"6","C1","H",28,"Control","Unstudied","Argent",1,-1,-1,0.5
"7","C1","H",28,"Control","Unstudied","Armée",1,-1,-1,0.5
"8","C1","H",28,"Control","Unstudied","Bain",1,-1,-1,0.5
"9","C1","H",28,"Control","Studied","Barrique",3,1,-1,0.5
"10","C1","H",28,"Control","Unstudied","Bois",3,-1,-1,0.5
"11","C1","H",28,"Control","Studied","Botte",4,1,-1,0.5
"12","C1","H",28,"Control","Studied","Bureau",4,1,-1,0.5
"13","C1","H",28,"Control","Unstudied","Canon",1,-1,-1,0.5
"14","C1","H",28,"Control","Studied","Chaise",4,1,-1,0.5
"15","C1","H",28,"Control","Studied","Chalet",3,1,-1,0.5
"16","C1","H",28,"Control","Lure","Chaussure",4,0,2,0.5
"17","C1","H",28,"Control","Unstudied","Chêne",3,-1,-1,0.5
"18","C1","H",28,"Control","Studied","Clé",4,1,-1,0.5
"19","C1","H",28,"Control","Studied","Clocher",4,1,-1,0.5
"20","C1","H",28,"Control","Studied","Couverture",4,1,-1,0.5
"21","C1","H",28,"Control","Studied","Croix",1,1,-1,0.5
"22","C1","H",28,"Control","Lure","Eglise",4,0,2,0.5
"23","C1","H",28,"Control","Lure","Fauteuil",4,0,2,0.5
"24","C1","H",28,"Control","Studied","Fenêtre",4,1,-1,0.5
"25","C1","H",28,"Control","Unstudied","Feu",2,-1,-1,0.5
"26","C1","H",28,"Control","Unstudied","Flamme",2,-1,-1,0.5
"27","C1","H",28,"Control","Unstudied","Forêt",4,-1,-1,0.5
"28","C1","H",28,"Control","Unstudied","Fumée",1,-1,-1,0.5
"29","C1","H",28,"Control","Unstudied","Fusil",1,-1,-1,0.5
"30","C1","H",28,"Control","Unstudied","Gare",1,-1,-1,0.5
"31","C1","H",28,"Control","Unstudied","Incendie",2,-1,-1,0.5
"32","C1","H",28,"Control","Studied","Ivresse",4,1,-1,0.5
"33","C1","H",28,"Control","Lure","Laine",4,0,2,0.5
"34","C1","H",28,"Control","Unstudied","Lavande",1,-1,-1,0.5
"35","C1","H",28,"Control","Studied","Luge",4,1,-1,0.5
"36","C1","H",28,"Control","Unstudied","Métal",1,-1,-1,0.5
"37","C1","H",28,"Control","Unstudied","Métro",1,-1,-1,0.5
"38","C1","H",28,"Control","Studied","Miel",4,1,-1,0.5
"39","C1","H",28,"Control","Studied","Moteur",4,1,-1,0.5
"40","C1","H",28,"Control","Unstudied","Mousse",1,-1,-1,0.5
"41","C1","H",28,"Control","Studied","Mouton",1,1,-1,0.5
"42","C1","H",28,"Control","Lure","Neige",4,0,2,0.5
"43","C1","H",28,"Control","Studied","Nid",4,1,-1,0.5
"44","C1","H",28,"Control","Unstudied","Or",1,-1,-1,0.5
"45","C1","H",28,"Control","Studied","Pantoufle",4,1,-1,0.5
"46","C1","H",28,"Control","Studied","Pied",3,1,-1,0.5
"47","C1","H",28,"Control","Lure","Porte",4,0,2,0.5
"48","C1","H",28,"Control","Studied","Prêtre",2,1,-1,0.5
"49","C1","H",28,"Control","Studied","Reine",4,1,-1,0.5
"50","C1","H",28,"Control","Unstudied","Salaire",1,-1,-1,0.5
"51","C1","H",28,"Control","Unstudied","Savon",1,-1,-1,0.5
"52","C1","H",28,"Control","Studied","Semelle",4,1,-1,0.5
"53","C1","H",28,"Control","Studied","Seuil",3,1,-1,0.5
"54","C1","H",28,"Control","Studied","Ski",1,1,-1,0.5
"55","C1","H",28,"Control","Unstudied","Soldat",1,-1,-1,0.5
"56","C1","H",28,"Control","Unstudied","Train",1,-1,-1,0.5
"57","C1","H",28,"Control","Studied","Tricot",4,1,-1,0.5
"58","C1","H",28,"Control","Lure","Vin",2,0,2,0.5
"59","C1","H",28,"Control","Lure","Voiture",4,0,2,0.5
"60","C1","H",28,"Control","Unstudied","Wagon",1,-1,-1,0.5
"61","C2","F",23,"Control","Lure","Abeille",4,0,2,0.5
"62","C2","F",23,"Control","Studied","Accident",4,1,-1,0.5
