"","ppt","age","sex","condition","version","type_quest","type_resp","resp","conf","type","cond_rc","cond_rc2","type_rc","type_rc2"
"1",1,18,"F","Contrôle","A","leading_1","3",1,2,"leading",0,2,1,1
"2",1,18,"F","Contrôle","A","leading_2","Front",1,4,"leading",0,2,1,1
"3",1,18,"F","Contrôle","A","leading_3","Quasiment pleine",1,1,"leading",0,2,1,1
"4",1,18,"F","Contrôle","A","leading_4","Tête",1,5,"leading",0,2,1,1
"5",1,18,"F","Contrôle","A","misleading_1","Police",1,4,"misleading",0,2,-2,0
"6",1,18,"F","Contrôle","A","misleading_2","2ème étage",0,3,"misleading",0,2,-2,0
"7",1,18,"F","Contrôle","A","misleading_3","""députés tous pourris""",1,4,"misleading",0,2,-2,0
"8",1,18,"F","Contrôle","A","misleading_4","bleue",1,3,"misleading",0,2,-2,0
"9",1,18,"F","Contrôle","A","neutral_1","Homme",1,5,"neutral",0,2,1,-1
"10",1,18,"F","Contrôle","A","neutral_2","menaces d'assassinat",1,1,"neutral",0,2,1,-1
"11",1,18,"F","Contrôle","A","neutral_3","salle",1,4,"neutral",0,2,1,-1
"12",1,18,"F","Contrôle","A","neutral_4","matraque",1,5,"neutral",0,2,1,-1
"13",2,18,"F","Contrôle","A","leading_1","3",1,3,"leading",0,2,1,1
"14",2,20,"F","Contrôle","A","leading_2","Front",1,3,"leading",0,2,1,1
"15",2,22,"F","Contrôle","A","leading_3","Quasiment pleine",1,1,"leading",0,2,1,1
"16",2,25,"F","Contrôle","A","leading_4","Torse",0,5,"leading",0,2,1,1
"17",2,26,"F","Contrôle","A","misleading_1","Police",1,1,"misleading",0,2,-2,0
"18",2,28,"F","Contrôle","A","misleading_2","1er étage",1,1,"misleading",0,2,-2,0
"19",2,31,"F","Contrôle","A","misleading_3","""à bas les députés""",0,5,"misleading",0,2,-2,0
"20",2,32,"F","Contrôle","A","misleading_4","bleue",1,5,"misleading",0,2,-2,0
"21",2,34,"F","Contrôle","A","neutral_1","Homme",1,5,"neutral",0,2,1,-1
"22",2,37,"F","Contrôle","A","neutral_2","menaces d'attentat",0,5,"neutral",0,2,1,-1
"23",2,38,"F","Contrôle","A","neutral_3","salle",1,5,"neutral",0,2,1,-1
"24",2,41,"F","Contrôle","A","neutral_4","renversé",0,5,"neutral",0,2,1,-1
"25",3,19,"H","Contrôle","A","leading_1","3",1,1,"leading",0,2,1,1
"26",3,19,"H","Contrôle","A","leading_2","Front",1,3,"leading",0,2,1,1
"27",3,19,"H","Contrôle","A","leading_3","Quasiment pleine",1,1,"leading",0,2,1,1
"28",3,19,"H","Contrôle","A","leading_4","Tête",1,2,"leading",0,2,1,1
"29",3,19,"H","Contrôle","A","misleading_1","Journalistes",0,5,"misleading",0,2,-2,0
"30",3,19,"H","Contrôle","A","misleading_2","2ème étage",0,2,"misleading",0,2,-2,0
"31",3,19,"H","Contrôle","A","misleading_3","""députés tous pourris""",1,5,"misleading",0,2,-2,0
"32",3,19,"H","Contrôle","A","misleading_4","bleue",1,5,"misleading",0,2,-2,0
"33",3,19,"H","Contrôle","A","neutral_1","Homme",1,3,"neutral",0,2,1,-1
"34",3,19,"H","Contrôle","A","neutral_2","menaces d'assassinat",1,5,"neutral",0,2,1,-1
"35",3,19,"H","Contrôle","A","neutral_3","salle",1,4,"neutral",0,2,1,-1
"36",3,19,"H","Contrôle","A","neutral_4","matraque",1,3,"neutral",0,2,1,-1
"37",4,18,"F","Contrôle","A","leading_1","3",1,3,"leading",0,2,1,1
"38",4,18,"F","Contrôle","A","leading_2","Front",1,4,"leading",0,2,1,1
"39",4,18,"F","Contrôle","A","leading_3","Quasiment pleine",1,1,"leading",0,2,1,1
"40",4,18,"F","Contrôle","A","leading_4","Tête",1,5,"leading",0,2,1,1
"41",4,18,"F","Contrôle","A","misleading_1","Journalistes",0,3,"misleading",0,2,-2,0
"42",4,18,"F","Contrôle","A","misleading_2","2ème étage",0,1,"misleading",0,2,-2,0
"43",4,18,"F","Contrôle","A","misleading_3","""députés tous pourris""",1,4,"misleading",0,2,-2,0
"44",4,18,"F","Contrôle","A","misleading_4","bleue",1,5,"misleading",0,2,-2,0
"45",4,18,"F","Contrôle","A","neutral_1","Homme",1,5,"neutral",0,2,1,-1
"46",4,18,"F","Contrôle","A","neutral_2","menaces d'attentat",0,3,"neutral",0,2,1,-1
"47",4,18,"F","Contrôle","A","neutral_3","salle",1,5,"neutral",0,2,1,-1
"48",4,18,"F","Contrôle","A","neutral_4","matraque",1,5,"neutral",0,2,1,-1
"49",5,17,"F","Contrôle","A","leading_1","3",1,4,"leading",0,2,1,1
"50",5,17,"F","Contrôle","A","leading_2","Front",1,5,"leading",0,2,1,1
"51",5,17,"F","Contrôle","A","leading_3","Quasiment pleine",1,4,"leading",0,2,1,1
"52",5,17,"F","Contrôle","A","leading_4","Tête",1,5,"leading",0,2,1,1
"53",5,17,"F","Contrôle","A","misleading_1","Police",1,5,"misleading",0,2,-2,0
"54",5,17,"F","Contrôle","A","misleading_2","1er étage",1,5,"misleading",0,2,-2,0
"55",5,17,"F","Contrôle","A","misleading_3","""députés tous pourris""",1,5,"misleading",0,2,-2,0
"56",5,17,"F","Contrôle","A","misleading_4","blanche",0,5,"misleading",0,2,-2,0
"57",5,17,"F","Contrôle","A","neutral_1","Homme",1,4,"neutral",0,2,1,-1
"58",5,17,"F","Contrôle","A","neutral_2","menaces d'assassinat",1,4,"neutral",0,2,1,-1
"59",5,17,"F","Contrôle","A","neutral_3","salle",1,5,"neutral",0,2,1,-1
"60",5,17,"F","Contrôle","A","neutral_4","matraque",1,5,"neutral",0,2,1,-1
"61",6,19,"F","Contrôle","A","leading_1","2",0,4,"leading",0,2,1,1
"62",6,19,"F","Contrôle","A","leading_2","Front",1,1,"leading",0,2,1,1
"63",6,19,"F","Contrôle","A","leading_3","Quasiment pleine",1,1,"leading",0,2,1,1
"64",6,19,"F","Contrôle","A","leading_4","Tête",1,5,"leading",0,2,1,1
"65",6,19,"F","Contrôle","A","misleading_1","Police",1,4,"misleading",0,2,-2,0
"66",6,19,"F","Contrôle","A","misleading_2","2ème étage",0,2,"misleading",0,2,-2,0
"67",6,19,"F","Contrôle","A","misleading_3","""députés tous pourris""",1,5,"misleading",0,2,-2,0
"68",6,19,"F","Contrôle","A","misleading_4","bleue",1,3,"misleading",0,2,-2,0
"69",6,19,"F","Contrôle","A","neutral_1","Homme",1,5,"neutral",0,2,1,-1
"70",6,19,"F","Contrôle","A","neutral_2","menaces d'attentat",0,2,"neutral",0,2,1,-1
"71",6,19,"F","Contrôle","A","neutral_3","salle",1,4,"neutral",0,2,1,-1
"72",6,19,"F","Contrôle","A","neutral_4","matraque",1,5,"neutral",0,2,1,-1
"73",7,21,"F","Contrôle","A","leading_1","2",0,2,"leading",0,2,1,1
"74",7,21,"F","Contrôle","A","leading_2","Front",1,3,"leading",0,2,1,1
"75",7,21,"F","Contrôle","A","leading_3","Quasiment pleine",1,2,"leading",0,2,1,1
"76",7,21,"F","Contrôle","A","leading_4","Tête",1,3,"leading",0,2,1,1
"77",7,21,"F","Contrôle","A","misleading_1","Police",1,4,"misleading",0,2,-2,0
